"Title","Genre","Company","AgeRating","Year","Rating","RatingCount","Director","Writer","Star","Budget","Revenue","RunTime","Country","Profit"
"Alice Through the Looking Glass","Fantasy","Walt Disney Pictures","PG",2016,6.2,98000,"James Bobin","Linda Woolverton","Mia Wasikowska",170000000,299370084,113,"United States",129370084
"Terminator Genisys","Science Fiction","Paramount Pictures","PG-13",2015,6.3,264000,"Alan Taylor","Laeta Kalogridis","Arnold Schwarzenegger",155000000,440603537,126,"United States",285603537
"Harry Potter and the Order of the Phoenix","Adventure","Warner Bros.","PG-13",2007,7.5,527000,"David Yates","Michael Goldenberg","Daniel Radcliffe",150000000,938212738,138,"United Kingdom",788212738
"Hancock","Fantasy","Columbia Pictures","PG-13",2008,6.4,454000,"Peter Berg","Vy Vincent Ngo","Will Smith",150000000,624029371,92,"United States",474029371
"Ratatouille","Animation","Walt Disney Pictures","G",2007,8,660000,"Brad Bird","Brad Bird","Brad Garrett",150000000,623722818,111,"United States",473722818
"Madagascar: Escape 2 Africa","Family","DreamWorks Animation","PG",2008,6.6,211000,"Eric Darnell","Etan Cohen","Ben Stiller",150000000,603900354,89,"United States",453900354
"Thor: The Dark World","Action","Marvel Studios","PG-13",2013,6.8,618000,"Alan Taylor","Christopher L. Yost","Chris Hemsworth",170000000,644571402,112,"United States",474571402
"Angels & Demons","Thriller","Columbia Pictures","PG-13",2009,6.7,280000,"Ron Howard","David Koepp","Tom Hanks",150000000,356613439,138,"United States",206613439
"Bolt","Animation","Walt Disney Animation Studios","PG",2008,6.8,196000,"Byron Howard","Dan Fogelman","John Travolta",150000000,309979994,98,"United States",159979994
"Mission: Impossible - Rogue Nation","Action","Paramount Pictures","PG-13",2015,7.4,350000,"Christopher McQuarrie","Bruce Geller","Tom Cruise",150000000,682330139,131,"United States",532330139
"Kung Fu Panda 2","Animation","DreamWorks Animation","PG",2011,7.2,262000,"Jennifer Yuh Nelson","Jonathan Aibel","Jack Black",150000000,665692281,91,"United States",515692281
"The Last Airbender","Action","Paramount Pictures","PG",2010,4,156000,"M. Night Shyamalan","M. Night Shyamalan","Noah Ringer",150000000,318502923,103,"United States",168502923
"Mission: Impossible III","Adventure","Paramount Pictures","PG-13",2006,6.9,337000,"J.J. Abrams","Alex Kurtzman","Tom Cruise",150000000,397850012,126,"United States",247850012
"White House Down","Action","Columbia Pictures","PG-13",2013,6.3,211000,"Roland Emmerich","James Vanderbilt","Channing Tatum",150000000,205366737,131,"United States",55366737
"Flushed Away","Adventure","Aardman Animations","PG",2006,6.6,117000,"David Bowers","Dick Clement","Hugh Jackman",149000000,64459316,85,"United Kingdom",-84540684
"Pan","Adventure","Warner Bros.","PG",2015,5.7,62000,"Joe Wright","Jason Fuchs","Levi Miller",150000000,128388320,111,"United States",-21611680
"Madagascar 3: Europe's Most Wanted","Animation","DreamWorks Animation","PG",2012,6.8,168000,"Eric Darnell","Eric Darnell","Ben Stiller",145000000,746921274,93,"United States",601921274
"Die Another Day","Adventure","Eon Productions","PG-13",2002,6.1,209000,"Lee Tamahori","Ian Fleming","Pierce Brosnan",140000000,431971116,133,"United Kingdom",291971116
"Ghostbusters","Action","Columbia Pictures","PG",1984,7.8,365000,"Ivan Reitman","Dan Aykroyd","Bill Murray",144000000,229147509,116,"United States",85147509
"Ghostbusters","Action","Columbia Pictures","PG-13",2016,6.7,209000,"Paul Feig","Katie Dippold","Melissa McCarthy",144000000,229147509,116,"United States",85147509
"Men in Black II","Action","Columbia Pictures","PG-13",2002,6.2,351000,"Barry Sonnenfeld","Lowell Cunningham","Tommy Lee Jones",140000000,441818803,88,"United States",301818803
"Beowulf","Adventure","Paramount Pictures","PG-13",2007,6.2,163000,"Robert Zemeckis","Neil Gaiman","Ray Winstone",70000000,195735876,115,"United States",125735876
"Mission: Impossible - Ghost Protocol","Action","Paramount Pictures","PG-13",2011,7.4,466000,"Brad Bird","Bruce Geller","Tom Cruise",145000000,694713380,133,"United States",549713380
"Rise of the Guardians","Fantasy","DreamWorks Animation","PG",2012,7.3,161000,"Peter Ramsey","David Lindsay-Abaire","Hugh Jackman",145000000,306941670,97,"United States",161941670
"Star Trek","Science Fiction","Paramount Pictures","PG-13",2009,7.9,585000,"J.J. Abrams","Roberto Orci","Chris Pine",150000000,385680446,127,"United States",235680446
"Spider-Man","Fantasy","Columbia Pictures","PG-13",2002,7.3,706000,"Sam Raimi","Stan Lee","Tobey Maguire",139000000,821708551,121,"United States",682708551
"How to Train Your Dragon 2","Fantasy","DreamWorks Animation","PG",2014,7.8,313000,"Dean DeBlois","Dean DeBlois","Jay Baruchel",145000000,609123048,102,"United States",464123048
"Hulk","Drama","Universal Pictures","PG-13",2003,5.6,255000,"Ang Lee","Stan Lee","Eric Bana",137000000,245360480,138,"United States",108360480
"G.I. Joe: Retaliation","Adventure","Paramount Pictures","PG-13",2013,5.8,176000,"Jon M. Chu","Rhett Reese","Dwayne Johnson",130000000,371876278,110,"United States",241876278
"Sahara","Action","Paramount Pictures","PG-13",2005,6,94000,"Breck Eisner","Clive Cussler","Matthew McConaughey",130000000,119269486,124,"United Kingdom",-10730514
"The Twilight Saga: Breaking Dawn - Part 2","Adventure","Summit Entertainment","PG-13",2012,5.5,236000,"Bill Condon","Melissa Rosenberg","Kristen Stewart",120000000,8.29e+08,115,"United States",7.09e+08
"The Incredible Hulk","Science Fiction","Universal Pictures","PG-13",2008,6.7,448000,"Louis Leterrier","Zak Penn","Edward Norton",150000000,163712074,114,"United States",13712074
"The BFG","Adventure","Walt Disney Pictures","PG",2016,6.4,80000,"Steven Spielberg","Melissa Mathison","Mark Rylance",140000000,183345589,120,"United States",43345589
"Turbo","Animation","DreamWorks Animation","PG",2013,6.4,88000,"David Soren","Darren Lemke","Ryan Reynolds",135000000,282570682,96,"United States",147570682
"Rango","Animation","Paramount Pictures","PG",2011,7.2,245000,"Gore Verbinski","John Logan","Johnny Depp",135000000,245724603,107,"United States",110724603
"Penguins of Madagascar","Family","DreamWorks Animation","PG",2014,6.7,83000,"Eric Darnell","Michael Colton","Tom McGrath",132000000,373552094,92,"United States",241552094
"The Bourne Ultimatum","Action","Universal Pictures","PG-13",2007,8,612000,"Paul Greengrass","Tony Gilroy","Matt Damon",70000000,442824138,115,"United States",372824138
"Kung Fu Panda","Adventure","DreamWorks Animation","PG",2008,7.6,432000,"Mark Osborne","Jonathan Aibel","Jack Black",130000000,631744560,90,"United States",501744560
"War of the Worlds","Adventure","Paramount Pictures","PG-13",2005,6.5,424000,"Steven Spielberg","Josh Friedman","Tom Cruise",132000000,591739379,116,"United States",459739379
"Salt","Action","Columbia Pictures","PG-13",2010,6.4,301000,"Phillip Noyce","Kurt Wimmer","Angelina Jolie",110000000,293329073,100,"United States",183329073
"Noah","Drama","Paramount Pictures","PG-13",2014,5.7,246000,"Darren Aronofsky","Darren Aronofsky","Russell Crowe",125000000,362637473,139,"United States",237637473
"After Earth","Science Fiction","Columbia Pictures","PG-13",2013,4.8,194000,"M. Night Shyamalan","Gary Whitta","Jaden Smith",130000000,243843127,100,"United States",113843127
"Dinosaur","Animation","Walt Disney Pictures","PG",2000,6.5,56000,"Eric Leighton","Thom Enriquez","D.B. Sweeney",127500000,354248063,82,"United States",226748063
"Megamind","Animation","DreamWorks Animation","PG",2010,7.2,236000,"Tom McGrath","Alan Schoolcraft","Will Ferrell",130000000,321887208,95,"United States",191887208
"R.I.P.D.","Fantasy","Universal Pictures","PG-13",2013,5.6,123000,"Robert Schwentke","Phil Hay","Ryan Reynolds",130000000,61648500,96,"United States",-68351500
"The Hunger Games: Mockingjay - Part 1","Science Fiction","Lionsgate","PG-13",2014,6.6,424000,"Francis Lawrence","Peter Craig","Jennifer Lawrence",125000000,752100229,123,"United States",627100229
"The Da Vinci Code","Thriller","Columbia Pictures","PG-13",2006,6.6,410000,"Ron Howard","Akiva Goldsman","Tom Hanks",125000000,767820459,149,"United States",642820459
"Fast Five","Action","Universal Pictures","PG-13",2011,7.3,362000,"Justin Lin","Chris Morgan","Vin Diesel",125000000,626137675,130,"United States",501137675
"The 13th Warrior","Adventure","Touchstone Pictures","R",1999,6.6,119000,"John McTiernan","Michael Crichton","Antonio Banderas",160000000,61698899,102,"United States",-98301101
"The Bourne Legacy","Action","Universal Pictures","PG-13",2012,6.6,290000,"Tony Gilroy","Tony Gilroy","Jeremy Renner",130000000,276572938,120,"United States",146572938
"Mission: Impossible II","Adventure","Paramount Pictures","PG-13",2000,6.1,322000,"John Woo","Bruce Geller","Tom Cruise",125000000,546388105,123,"United States",421388105
"The Perfect Storm","Drama","Warner Bros.","PG-13",2000,6.4,160000,"Wolfgang Petersen","Sebastian Junger","George Clooney",120000000,325756637,130,"United States",205756637
"Charlie's Angels: Full Throttle","Action","Columbia Pictures","PG-13",2003,4.9,123000,"McG","Ivan Goff","Drew Barrymore",120000000,259175788,106,"United States",139175788
"Stuart Little 2","Family","Columbia Pictures","PG",2002,5.5,51000,"Rob Minkoff","E.B. White","Michael J. Fox",120000000,169956806,78,"United States",49956806
"Elysium","Science Fiction","TriStar Pictures","R",2013,6.6,426000,"Neill Blomkamp","Neill Blomkamp","Matt Damon",115000000,286140700,109,"United States",171140700
"How Do You Know","Comedy","Columbia Pictures","PG-13",2010,5.4,48000,"James L. Brooks","James L. Brooks","Reese Witherspoon",120000000,48668907,121,"United States",-71331093
"Oblivion","Action","Universal Pictures","PG-13",2013,7,495000,"Joseph Kosinski","Karl Gajdusek","Tom Cruise",120000000,286168572,124,"United States",166168572
"Star Wars: Episode III - Revenge of the Sith","Science Fiction","Lucasfilm","PG-13",2005,7.5,729000,"George Lucas","George Lucas","Hayden Christensen",113000000,8.5e+08,140,"United States",7.37e+08
"Star Wars: Episode II - Attack of the Clones","Adventure","Lucasfilm","PG",2002,6.5,658000,"George Lucas","George Lucas","Hayden Christensen",120000000,649398328,142,"United States",529398328
"Star Wars: Episode I - The Phantom Menace","Adventure","Lucasfilm","PG",1999,6.5,748000,"George Lucas","George Lucas","Ewan McGregor",115000000,924317558,136,"United States",809317558
"The Croods","Adventure","DreamWorks Animation","PG",2013,7.2,199000,"Kirk DeMicco","Chris Sanders","Nicolas Cage",135000000,585178928,98,"United States",450178928
"The Huntsman: Winter's War","Action","Universal Pictures","PG-13",2016,6.1,101000,"Cedric Nicolas-Troyan","Evan Spiliotopoulos","Chris Hemsworth",115000000,164602163,114,"United States",49602163
"Teenage Mutant Ninja Turtles","Science Fiction","Paramount Pictures","PG-13",2014,5.8,203000,"Jonathan Liebesman","Josh Appelbaum","Megan Fox",125000000,477200000,101,"United States",352200000
"Gravity","Science Fiction","Warner Bros.","PG-13",2013,7.7,784000,"Alfonso Cuarón","Alfonso Cuarón","Sandra Bullock",105000000,716392705,91,"United Kingdom",611392705
"Dante's Peak","Action","Universal Pictures","PG-13",1997,6,85000,"Roger Donaldson","Leslie Bohem","Pierce Brosnan",116000000,178127760,108,"United States",62127760
"Teenage Mutant Ninja Turtles: Out of the Shadows","Fantasy","Paramount Pictures","PG-13",2016,6,87000,"Dave Green","Josh Appelbaum","Megan Fox",135000000,245623848,112,"United States",110623848
"San Andreas","Action","New Line Cinema","PG-13",2015,6.1,219000,"Brad Peyton","Carlton Cuse","Dwayne Johnson",110000000,470490832,114,"United States",360490832
"Tomorrow Never Dies","Adventure","Eon Productions","PG-13",1997,6.5,185000,"Roger Spottiswoode","Bruce Feirstein","Pierce Brosnan",110000000,333011068,119,"United Kingdom",223011068
"The Smurfs","Animation","Columbia Pictures","PG",2011,5.4,86000,"Raja Gosnell","J. David Stem","Hank Azaria",110000000,563749323,103,"United States",453749323
"Home on the Range","Animation","Walt Disney Pictures","PG",2004,5.4,21000,"Will Finn","Will Finn","Judi Dench",110000000,103951461,76,"United States",-6048539
"The Smurfs 2","Fantasy","Columbia Pictures","PG",2013,5.3,39000,"Raja Gosnell","J. David Stem","Neil Patrick Harris",105000000,347434178,105,"United States",242434178
"Ender's Game","Science Fiction","Summit Entertainment","PG-13",2013,6.6,228000,"Gavin Hood","Gavin Hood","Harrison Ford",110000000,125537191,114,"United States",15537191
"Public Enemies","History","Universal Pictures","R",2009,7,287000,"Michael Mann","Ronan Bennett","Christian Bale",80000000,214104620,140,"United States",134104620
"The Other Guys","Action","Columbia Pictures","PG-13",2010,6.6,249000,"Adam McKay","Adam McKay","Will Ferrell",100000000,170432927,107,"United States",70432927
"Eraser","Action","Kopelson Entertainment","R",1996,6.1,106000,"Chuck Russell","Tony Puryear","Arnold Schwarzenegger",100000000,242295562,115,"United States",142295562
"National Treasure","Adventure","Walt Disney Pictures","PG",2004,6.9,311000,"Jon Turteltaub","Jim Kouf","Nicolas Cage",100000000,347451894,131,"United States",247451894
"End of Days","Action","Beacon Communications","R",1999,5.8,107000,"Peter Hyams","Andrew W. Marlowe","Arnold Schwarzenegger",100000000,211989043,121,"United States",111989043
"Batman Forever","Action","Warner Bros.","PG-13",1995,5.4,239000,"Joel Schumacher","Bob Kane","Val Kilmer",100000000,336529144,121,"United States",236529144
"Starship Troopers","Adventure","TriStar Pictures","R",1997,7.2,276000,"Paul Verhoeven","Edward Neumeier","Casper Van Dien",105000000,121214377,129,"United States",16214377
"Hercules","Action","Paramount Pictures","PG-13",2014,6,149000,"Brett Ratner","Ryan J. Condal","Dwayne Johnson",100000000,243400000,99,"United States",143400000
"Land of the Lost","Adventure","Universal Pictures","PG-13",2009,5.3,68000,"Brad Silberling","Chris Henchy","Will Ferrell",100000000,68688831,102,"United States",-31311169
"Green Zone","War","Universal Pictures","R",2010,6.8,133000,"Paul Greengrass","Brian Helgeland","Matt Damon",100000000,94882889,115,"United Kingdom",-5117111
"The Mummy Returns","Adventure","Universal Pictures","PG-13",2001,6.4,307000,"Stephen Sommers","Stephen Sommers","Brendan Fraser",98000000,433013274,130,"United States",335013274
"Surf's Up","Animation","Columbia Pictures","PG",2007,6.7,72000,"Ash Brannon","Don Rhymer","Shia LaBeouf",85000000,149044513,85,"United States",64044513
"The Stepford Wives","Action","Paramount Pictures","PG-13",2004,5.3,62000,"Frank Oz","Ira Levin","Nicole Kidman",90000000,1.02e+08,93,"United States",1.2e+07
"The Fifth Element","Adventure","Columbia Pictures","PG-13",1997,7.7,444000,"Luc Besson","Luc Besson","Bruce Willis",90000000,263920180,126,"France",173920180
"Sex and the City 2","Comedy","New Line Cinema","R",2010,4.5,76000,"Michael Patrick King","Michael Patrick King","Sarah Jessica Parker",100000000,288347692,146,"United States",188347692
"Ice Age: Continental Drift","Animation","Blue Sky Studios","PG",2012,6.5,197000,"Steve Martino","Michael Berg","Ray Romano",95000000,877244782,88,"United States",782244782
"Finding Nemo","Animation","Pixar Animation Studios","G",2003,8.1,972000,"Andrew Stanton","Andrew Stanton","Albert Brooks",94000000,940335536,100,"United States",846335536
"Lara Croft: Tomb Raider","Adventure","Paramount Pictures","PG-13",2001,5.8,201000,"Simon West","Sara B. Cooper","Angelina Jolie",115000000,274703340,100,"United States",159703340
"Transcendence","Thriller","Alcon Entertainment","PG-13",2014,6.2,220000,"Wally Pfister","Jack Paglen","Johnny Depp",100000000,103039258,119,"United Kingdom",3039258
"The Spiderwick Chronicles","Adventure","Paramount Pictures","PG",2008,6.5,91000,"Mark Waters","Karey Kirkpatrick","Freddie Highmore",90000000,162839667,95,"United States",72839667
"Toy Story 2","Animation","Pixar Animation Studios","G",1999,7.9,540000,"John Lasseter","John Lasseter","Tom Hanks",90000000,497366869,92,"United States",407366869
"Rush Hour 2","Action","New Line Cinema","PG-13",2001,6.6,205000,"Brett Ratner","Ross LaManna","Jackie Chan",90000000,347325802,90,"Hong Kong",257325802
"Cloudy with a Chance of Meatballs","Animation","Columbia Pictures","PG",2009,6.9,212000,"Phil Lord","Phil Lord","Anna Faris",100000000,242988466,90,"United States",142988466
"Charlie's Angels","Action","Columbia Pictures","PG-13",2000,5.6,179000,"McG","Ryan Rowe","Cameron Diaz",92000000,264105545,98,"United States",172105545
"The Girl with the Dragon Tattoo","Thriller","Columbia Pictures","R",2011,7.8,435000,"David Fincher","Steven Zaillian","Daniel Craig",90000000,232617430,158,"United States",142617430
"You Don't Mess with the Zohan","Comedy","Columbia Pictures","PG-13",2008,5.5,194000,"Dennis Dugan","Adam Sandler","Adam Sandler",90000000,201596308,113,"United States",111596308
"Pixels","Action","Columbia Pictures","PG-13",2015,5.5,135000,"Chris Columbus","Tim Herlihy","Adam Sandler",88000000,243637091,105,"United States",155637091
"The Haunted Mansion","Thriller","Walt Disney Pictures","PG",2003,5.1,44000,"Rob Minkoff","David Berenbaum","Eddie Murphy",90000000,182290266,99,"United States",92290266
"Contact","Drama","Warner Bros.","PG",1997,7.5,260000,"Robert Zemeckis","James V. Hart","Jodie Foster",90000000,171120329,150,"United States",81120329
"The Interpreter","Crime","Universal Pictures","PG-13",2005,6.4,101000,"Sydney Pollack","Martin Stellman","Nicole Kidman",80000000,162944923,128,"United Kingdom",82944923
"Lara Croft Tomb Raider: The Cradle of Life","Action","Paramount Pictures","PG-13",2003,5.6,132000,"Jan de Bont","Dean Georgaris","Angelina Jolie",95000000,156505388,117,"United States",61505388
"Now You See Me 2","Action","Summit Entertainment","PG-13",2016,6.5,260000,"Jon M. Chu","Ed Solomon","Jesse Eisenberg",90000000,334901337,129,"United States",244901337
"The Saint","Thriller","Paramount Pictures","PG-13",1997,6.2,64000,"Phillip Noyce","Leslie Charteris","Val Kilmer",68000000,118063304,116,"United States",50063304
"Spy Game","Action","Universal Pictures","R",2001,7.1,149000,"Tony Scott","Michael Frost Beckner","Robert Redford",92000000,143049560,126,"United States",51049560
"The Devil's Own","Crime","Columbia Pictures","R",1997,6.2,62000,"Alan J. Pakula","Kevin Jarre","Harrison Ford",90000000,140807547,107,"United States",50807547
"Conan the Barbarian","Adventure","Universal Pictures","R",1982,6.9,141000,"John Milius","Robert E. Howard","Arnold Schwarzenegger",20000000,79114085,129,"United States",59114085
"Seabiscuit","Drama","Universal Pictures","PG-13",2003,7.3,68000,"Gary Ross","Laura Hillenbrand","Tobey Maguire",87000000,148336445,141,"United States",61336445
"The Bourne Supremacy","Action","Universal Pictures","PG-13",2004,7.7,443000,"Paul Greengrass","Robert Ludlum","Matt Damon",75000000,288500217,108,"United States",213500217
"Hotel Transylvania","Animation","Columbia Pictures","PG",2012,7.1,232000,"Genndy Tartakovsky","Peter Baynham","Adam Sandler",85000000,358375603,91,"United States",273375603
"Enchanted","Comedy","Walt Disney Pictures","PG",2007,7,181000,"Kevin Lima","Bill Kelly","Amy Adams",85000000,340487652,107,"United States",255487652
"Safe House","Action","Universal Pictures","R",2012,6.7,211000,"Daniel Espinosa","David Guggenheim","Denzel Washington",85000000,208076205,115,"South Africa",123076205
"Tower Heist","Action","Universal Pictures","PG-13",2011,6.2,137000,"Brett Ratner","Adam Cooper","Eddie Murphy",75000000,152930623,104,"United States",77930623
"The Holiday","Comedy","Columbia Pictures","PG-13",2006,6.9,258000,"Nancy Meyers","Nancy Meyers","Kate Winslet",85000000,194168700,136,"United States",109168700
"It's Complicated","Comedy","Universal Pictures","R",2009,6.5,88000,"Nancy Meyers","Nancy Meyers","Meryl Streep",85000000,219103655,121,"United States",134103655
"Divergent","Adventure","Summit Entertainment","PG-13",2014,6.6,435000,"Neil Burger","Evan Daugherty","Shailene Woodley",85000000,288747895,139,"United States",203747895
"Enemy at the Gates","War","Paramount Pictures","R",2001,7.6,249000,"Jean-Jacques Annaud","Jean-Jacques Annaud","Jude Law",68000000,96976270,131,"Ireland",28976270
"The Rundown","Adventure","Columbia Pictures","PG-13",2003,6.7,103000,"Peter Berg","R.J. Stewart","Dwayne Johnson",85000000,80916492,104,"United States",-4083508
"The Fast and the Furious: Tokyo Drift","Action","Universal Pictures","PG-13",2006,6,252000,"Justin Lin","Chris Morgan","Lucas Black",85000000,158468292,104,"United States",73468292
"Meet Joe Black","Fantasy","Universal Pictures","PG-13",1998,7.2,223000,"Martin Brest","Ron Osborn","Brad Pitt",90000000,142940100,178,"United States",52940100
"Mirror Mirror","Adventure","Relativity Media","PG",2012,5.6,85000,"Tarsem Singh","Marc Klein","Lily Collins",85000000,183018522,106,"United States",98018522
"Scott Pilgrim vs. the World","Action","Universal Pictures","PG-13",2010,7.5,394000,"Edgar Wright","Michael Bacall","Michael Cera",60000000,47664559,112,"United States",-12335441
"The Core","Action","Paramount Pictures","PG-13",2003,5.5,95000,"Jon Amiel","Cooper Layne","Aaron Eckhart",60000000,74208267,136,"United Kingdom",14208267
"Dredd","Action","DNA Films","R",2012,7.1,260000,"Pete Travis","John Wagner","Karl Urban",50000000,41037742,95,"United Kingdom",-8962258
"Zodiac","Crime","Paramount Pictures","R",2007,7.7,486000,"David Fincher","James Vanderbilt","Jake Gyllenhaal",65000000,84785914,157,"United States",19785914
"The 6th Day","Science Fiction","Phoenix Pictures","PG-13",2000,5.9,118000,"Roger Spottiswoode","Cormac Wibberley","Arnold Schwarzenegger",82000000,96085477,123,"United States",14085477
